X,Y,Distancia,LabelLinea,Linea,Nodo,Nombre,Package,Ruta,Sublinea,ObjectId
-665310.866747405,4495519.97509522,3331,A1,101,73,Av. Miraflores (Sta. María de Ordás),618,10113,10111,231
-665078.583111928,4495774.96843474,1981,12,12,74,Av. San Juan de La Salle (Av. Llanes),618,1211,1210,232
-665078.583111928,4495774.96843474,1902,16,16,74,Av. San Juan de La Salle (Av. Llanes),618,1611,1610,233
-665078.583111928,4495774.96843474,3203,A1,101,74,Av. San Juan de La Salle (Av. Llanes),618,10111,10110,234
-665078.583111928,4495774.96843474,3608,A1,101,74,Av. San Juan de La Salle (Av. Llanes),618,10113,10111,235
-659256.204808383,4491716.65844888,1124,39,39,75,Parsi 6 (Parsi 2,618,3912,3910,236
-659256.204808383,4491716.65844888,1124,39,39,75,Parsi 6 (Parsi 2,618,3914,3911,237
-666678.664904379,4496059.90541862,2145,14,14,76,Avenida Sánchez Pizjuán (Doctor Marañón),618,1411,1410,238
-666151.674060107,4496028.89877291,6251,02,2,77,Doctor Leal Castaños (Huerta del Carmen),618,211,210,239
-666151.674060107,4496028.89877291,2829,10,10,77,Doctor Leal Castaños (Huerta del Carmen),618,1011,1010,240
-666151.674060107,4496028.89877291,2597,13,13,77,Doctor Leal Castaños (Huerta del Carmen),618,1311,1310,241
-666151.674060107,4496028.89877291,2594,14,14,77,Doctor Leal Castaños (Huerta del Carmen),618,1411,1410,242
-666151.674060107,4496028.89877291,5736,A2,102,77,Doctor Leal Castaños (Huerta del Carmen),618,10211,10210,243
-666151.674060107,4496028.89877291,6109,A2,102,77,Doctor Leal Castaños (Huerta del Carmen),618,10213,10211,244
-666151.674060107,4496028.89877291,1315,60,134,77,Doctor Leal Castaños (Huerta del Carmen),618,13411,13410,245
-665777.87575573,4496032.6409388,6549,02,2,78,Sor Francisca Dorotea (Bda. La Barzola),618,211,210,246
-665777.87575573,4496032.6409388,2895,13,13,78,Sor Francisca Dorotea (Bda. La Barzola),618,1311,1310,247
-665777.87575573,4496032.6409388,2892,14,14,78,Sor Francisca Dorotea (Bda. La Barzola),618,1411,1410,248
-665777.87575573,4496032.6409388,1613,60,134,78,Sor Francisca Dorotea (Bda. La Barzola),618,13411,13410,249
-665434.493019787,4495943.36365198,806,01,1,79,Ronda de Pío XII (Madreselva),618,111,110,250
-665434.493019787,4495943.36365198,6851,02,2,79,Ronda de Pío XII (Madreselva),618,211,210,251
-665434.493019787,4495943.36365198,6282,A1,101,79,Ronda de Pío XII (Madreselva),618,10112,10110,252
-665434.493019787,4495943.36365198,6282,A1,101,79,Ronda de Pío XII (Madreselva),618,10114,10111,253
-666423.503243376,4492296.4737263,9517,37,37,80,Prado San Sebastián (Carlos V) [C][M],618,3712,3710,254
-666423.503243376,4492296.4737263,11220,EA,100,80,Prado San Sebastián (Carlos V) [C][M],618,10012,10010,255
-666423.503243376,4492296.4737263,0,A3,103,80,Prado San Sebastián (Carlos V) [C][M],618,10311,10310,256
-666423.503243376,4492296.4737263,7922,A3,103,80,Prado San Sebastián (Carlos V) [C][M],618,10312,10310,257
